"KMETIJSKE KULTURE","LETO","STATISTIÈNA REGIJA",Povpreèni pridelek (t/ha) pomembnejših kmetijskih kultur
"Oves","2016","Goriška",3.6
"Oves","2016","Obalno-kraška",2.7
"Oves","2017","Pomurska",3.4
"Oves","2017","Podravska",3.4
"Oves","2017","Koroška",2.8
"Oves","2017","Savinjska",3.1
"Oves","2017","Zasavska",2.5
"Oves","2017","Posavska",2.9
"Oves","2017","Jugovzhodna Slovenija",2.4
"Oves","2017","Osrednjeslovenska",3.5
"Oves","2017","Gorenjska",3.0
"Oves","2017","Primorsko-notranjska",3.0
"Oves","2017","Goriška",2.9
"Oves","2017","Obalno-kraška",2.3
"Oves","2018","Pomurska",2.5
"Oves","2018","Podravska",3.4
"Oves","2018","Koroška",2.7
"Oves","2018","Savinjska",2.4
"Oves","2018","Zasavska",2.0
"Oves","2018","Posavska",2.8
"Oves","2018","Jugovzhodna Slovenija",2.3
"Oves","2018","Osrednjeslovenska",3.0
"Oves","2018","Gorenjska",3.0
"Oves","2018","Primorsko-notranjska",3.2
"Oves","2018","Goriška",3.2
"Oves","2018","Obalno-kraška",2.5
"Oves","2019","Pomurska",3.7
"Oves","2019","Podravska",3.6
"Oves","2019","Koroška",2.9
"Oves","2019","Savinjska",2.9
"Oves","2019","Zasavska",2.0
"Oves","2019","Posavska",3.1
"Oves","2019","Jugovzhodna Slovenija",2.3
"Oves","2019","Osrednjeslovenska",2.9
"Oves","2019","Gorenjska",3.2
"Oves","2019","Primorsko-notranjska",3.0
"Oves","2019","Goriška",2.8
"Oves","2019","Obalno-kraška",2.8
"Rž in soržica","2010","Pomurska",3.0
"Rž in soržica","2010","Podravska",3.9
"Rž in soržica","2010","Koroška",2.9
"Rž in soržica","2010","Savinjska",3.2
"Rž in soržica","2010","Zasavska",-
"Rž in soržica","2010","Posavska",2.8
"Rž in soržica","2010","Jugovzhodna Slovenija",3.7
"Rž in soržica","2010","Osrednjeslovenska",4.1
"Rž in soržica","2010","Gorenjska",3.5
"Rž in soržica","2010","Primorsko-notranjska",4.9
"Rž in soržica","2010","Goriška",-
"Rž in soržica","2010","Obalno-kraška",3.7
"Rž in soržica","2011","Pomurska",3.3
"Rž in soržica","2011","Podravska",4.3
"Rž in soržica","2011","Koroška",3.1
"Rž in soržica","2011","Savinjska",3.2
"Rž in soržica","2011","Zasavska",-
"Rž in soržica","2011","Posavska",3.1
"Rž in soržica","2011","Jugovzhodna Slovenija",2.8
"Rž in soržica","2011","Osrednjeslovenska",3.6
