"KMETIJSKE KULTURE","STATISTIÈNA REGIJA","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Deteljno travne mešanice (1 do 5 let)","Obalno-kraška",5.6,5.5,2.4,3.5,5.1,4.7,4.5,4.1,4.6,4.8
"Detelja","SLOVENIJA",7.4,7.5,5.6,5.2,7.0,7.1,7.3,5.8,6.9,6.8
"Detelja","Pomurska",7.8,7.7,4.8,4.7,7.1,6.8,7.0,5.5,6.1,6.1
"Detelja","Podravska",5.8,5.9,4.9,4.2,4.9,5.9,6.2,5.6,6.7,6.9
"Detelja","Koroška",7.7,7.5,7.3,6.2,6.5,6.5,6.8,6.8,7.4,7.6
"Detelja","Savinjska",8.9,8.7,7.6,5.7,7.9,8.9,8.8,7.0,8.9,9.1
"Detelja","Zasavska",5.1,5.0,4.4,5.5,5.3,5.8,8.0,4.0,4.4,4.1
"Detelja","Posavska",7.6,6.7,6.1,5.6,7.2,7.8,8.0,5.1,7.6,9.0
"Detelja","Jugovzhodna Slovenija",7.5,8.4,6.3,6.0,9.1,9.4,10.4,6.7,9.8,8.8
"Detelja","Osrednjeslovenska",6.5,6.7,5.7,5.7,6.1,6.6,6.5,5.8,6.5,6.9
"Detelja","Gorenjska",7.5,7.3,7.8,5.8,8.2,7.9,8.5,8.2,8.0,7.9
"Detelja","Primorsko-notranjska",5.1,5.5,4.4,4.5,5.7,5.6,5.6,4.5,6.1,5.7
"Detelja","Goriška",9.6,9.8,5.4,7.0,9.3,8.4,7.6,6.6,8.9,6.6
"Detelja","Obalno-kraška",5.5,5.2,2.2,3.6,5.6,4.7,4.6,3.9,5.0,5.0
"Lucerna","SLOVENIJA",8.1,7.7,6.4,6.1,8.1,8.0,8.3,6.7,8.3,8.2
"Lucerna","Pomurska",8.9,9.2,7.0,6.9,8.8,7.5,8.0,6.5,8.0,6.8
"Lucerna","Podravska",6.5,5.9,5.4,4.5,6.8,7.4,7.2,6.2,7.6,7.6
"Lucerna","Koroška",8.2,8.2,8.0,6.6,6.8,6.9,7.1,6.9,7.6,7.7
"Lucerna","Savinjska",8.8,8.8,7.5,6.5,8.4,9.0,9.2,8.1,9.7,9.5
"Lucerna","Zasavska",8.0,8.3,6.5,4.0,5.2,6.3,8.6,4.2,4.5,4.5
"Lucerna","Posavska",7.8,7.4,6.8,6.4,8.4,8.6,8.6,5.5,8.3,8.8
"Lucerna","Jugovzhodna Slovenija",8.3,8.9,6.1,5.8,9.1,9.2,10.4,6.7,9.0,9.0
"Lucerna","Osrednjeslovenska",8.2,8.0,5.9,6.4,7.3,6.5,6.2,5.5,6.3,7.6
"Lucerna","Gorenjska",7.7,7.7,7.3,5.9,7.9,6.9,8.7,8.5,8.3,8.2
"Lucerna","Primorsko-notranjska",5.5,6.1,4.5,4.9,7.1,7.2,7.1,5.7,7.0,6.3
"Lucerna","Goriška",9.2,7.7,6.1,8.2,11.2,10.2,8.9,7.9,11.1,6.9
"Lucerna","Obalno-kraška",6.3,6.2,2.3,4.0,6.0,5.3,5.2,4.5,4.7,5.0
"Trajni travniki in pašniki, vkljuèno s skupnimi travniki in pašniki","SLOVENIJA",5.7,5.5,4.6,4.2,5.7,5.9,6.0,4.5,5.8,5.8
"Trajni travniki in pašniki, vkljuèno s skupnimi travniki in pašniki","Pomurska",6.8,7.0,5.2,5.3,7.0,5.5,6.1,4.6,6.1,5.5
"Trajni travniki in pašniki, vkljuèno s skupnimi travniki in pašniki","Podravska",6.8,6.6,5.6,4.1,6.3,6.6,6.7,4.8,6.6,6.5
"Trajni travniki in pašniki, vkljuèno s skupnimi travniki in pašniki","Koroška",5.9,5.9,5.3,3.9,5.2,5.3,5.8,5.6,6.0,6.4
"Trajni travniki in pašniki, vkljuèno s skupnimi travniki in pašniki","Savinjska",6.7,6.3,5.1,4.2,6.5,6.6,6.9,4.7,6.6,6.7
"Trajni travniki in pašniki, vkljuèno s skupnimi travniki in pašniki","Zasavska",4.5,4.6,3.7,3.6,3.9,4.2,4.3,3.1,3.5,3.7
"Trajni travniki in pašniki, vkljuèno s skupnimi travniki in pašniki","Posavska",5.8,5.6,4.7,4.7,5.4,6.0,6.2,3.3,5.7,6.3
"Trajni travniki in pašniki, vkljuèno s skupnimi travniki in pašniki","Jugovzhodna Slovenija",5.0,5.1,3.9,3.8,6.0,6.7,6.6,3.6,6.6,6.2
"Trajni travniki in pašniki, vkljuèno s skupnimi travniki in pašniki","Osrednjeslovenska",5.8,5.4,4.8,4.5,5.4,5.9,5.9,4.8,5.8,6.0
